Gene WormBase ID	of CLASH identified piRNA target sites
WBGene00008019	0
WBGene00008020	0
WBGene00008021	0
WBGene00008022	0
WBGene00008023	0
WBGene00008024	0
WBGene00008025	0
WBGene00008027	0
WBGene00008028	0
WBGene00008029	0
WBGene00008030	0
WBGene00008031	0
WBGene00008032	0
WBGene00008033	1
WBGene00008034	18
WBGene00008035	36
WBGene00008036	0
WBGene00008037	0
WBGene00008038	0
WBGene00008039	1
WBGene00008040	0
WBGene00008041	30
WBGene00008042	0
WBGene00008043	0
WBGene00008044	0
WBGene00008045	0
WBGene00008047	1
WBGene00008049	1
WBGene00008050	0
WBGene00008051	0
WBGene00008052	12
WBGene00008053	20
WBGene00008054	0
WBGene00008056	0
WBGene00008057	0
WBGene00008058	0
WBGene00008059	0
WBGene00008060	0
WBGene00008061	13
WBGene00008062	6
WBGene00008063	5
WBGene00008064	0
WBGene00008065	0
WBGene00008066	1
WBGene00008067	0
WBGene00008068	0
WBGene00008069	0
WBGene00008070	0
WBGene00008071	0
WBGene00008072	0
WBGene00008073	1
WBGene00008074	6
WBGene00008075	0
WBGene00008076	0
WBGene00008077	0
WBGene00008078	4
WBGene00008079	1
WBGene00008080	3
WBGene00008081	7
WBGene00008082	11
WBGene00008084	0
WBGene00008085	3
WBGene00008086	23
WBGene00008087	0
WBGene00008088	0
WBGene00008089	0
WBGene00008090	2
WBGene00008091	0
WBGene00008092	0
WBGene00008093	0
WBGene00008094	5
WBGene00008095	0
WBGene00008096	0
WBGene00008097	0
WBGene00008099	1
WBGene00008100	0
WBGene00008101	2
WBGene00008102	0
WBGene00008105	1
WBGene00008106	0
WBGene00008107	8
WBGene00008110	13
WBGene00008111	5
WBGene00008113	1
WBGene00008114	0
WBGene00008117	13
WBGene00008118	5
WBGene00008119	17
WBGene00008120	8
WBGene00008121	1
WBGene00008122	7
WBGene00008123	0
WBGene00008124	4
WBGene00008125	4
WBGene00008126	0
WBGene00008127	0
WBGene00008128	0
WBGene00008129	0
WBGene00008130	5
WBGene00008131	5
WBGene00008132	2
WBGene00008133	21
WBGene00008134	5
WBGene00008136	21
WBGene00008137	1
WBGene00008138	2
WBGene00008139	0
WBGene00008140	4
WBGene00008141	0
WBGene00008142	0
WBGene00008143	8
WBGene00008144	1
WBGene00008145	20
WBGene00008146	0
WBGene00008147	6
WBGene00008148	3
WBGene00008149	18
WBGene00008150	1
WBGene00008151	5
WBGene00008152	0
WBGene00008153	0
WBGene00008154	1
WBGene00008155	0
WBGene00008156	0
WBGene00008157	8
WBGene00008158	0
WBGene00008159	0
WBGene00008160	0
WBGene00008161	0
WBGene00008162	0
WBGene00008163	2
WBGene00008164	7
WBGene00008165	13
WBGene00008166	30
WBGene00008167	1
WBGene00008168	0
WBGene00008169	5
WBGene00008170	3
WBGene00008171	1
WBGene00008172	8
WBGene00008173	6
WBGene00008174	5
WBGene00008175	0
WBGene00008176	0
WBGene00008177	3
WBGene00008178	0
WBGene00008180	0
WBGene00008183	19
WBGene00008184	0
WBGene00008185	0
WBGene00008186	2
WBGene00008187	0
WBGene00008188	0
WBGene00008190	0
WBGene00008191	0
WBGene00008194	1
WBGene00008195	2
WBGene00008196	25
WBGene00008197	19
WBGene00008198	4
WBGene00008199	0
WBGene00008200	0
WBGene00008201	0
WBGene00008202	3
WBGene00008203	0
WBGene00008204	0
WBGene00008205	0
WBGene00008206	3
WBGene00008207	4
WBGene00008208	0
WBGene00008209	0
WBGene00008210	8
WBGene00008211	2
WBGene00008212	0
WBGene00008213	0
WBGene00008214	0
WBGene00008215	0
WBGene00008216	1
WBGene00008217	0
WBGene00008218	79
WBGene00008219	9
WBGene00008220	1
WBGene00008221	0
WBGene00008222	1
WBGene00008223	0
WBGene00008224	1
WBGene00008225	0
WBGene00008226	1
WBGene00008227	0
WBGene00008228	0
WBGene00008229	0
WBGene00008230	2
WBGene00008231	0
WBGene00008232	4
WBGene00008233	0
WBGene00008234	0
WBGene00008235	1
WBGene00008236	10
WBGene00008237	8
WBGene00008238	52
WBGene00008239	0
WBGene00008240	0
WBGene00008241	0
WBGene00008242	0
WBGene00008243	2
WBGene00008244	0
WBGene00008245	0
WBGene00008246	0
WBGene00008247	0
WBGene00008248	1
WBGene00008249	0
WBGene00008250	0
WBGene00008251	0
WBGene00008252	0
WBGene00008254	0
WBGene00008255	0
WBGene00008256	0
WBGene00008257	0
WBGene00008258	1
WBGene00008259	1
WBGene00008260	0
WBGene00008261	0
WBGene00008262	12
WBGene00008263	1
WBGene00008265	0
WBGene00008266	15
WBGene00008267	0
WBGene00008268	0
WBGene00008269	0
WBGene00008270	15
WBGene00008271	0
WBGene00008272	1
WBGene00008273	0
WBGene00008274	28
WBGene00008275	1
WBGene00008277	0
WBGene00008278	0
WBGene00008279	0
WBGene00008280	0
WBGene00008281	3
WBGene00008283	10
WBGene00008284	0
WBGene00008285	0
WBGene00008286	0
WBGene00008287	0
WBGene00008288	5
WBGene00008289	0
WBGene00008290	0
WBGene00008291	0
WBGene00008292	0
WBGene00008293	0
WBGene00008294	0
WBGene00008295	0
WBGene00008296	0
WBGene00008297	0
WBGene00008298	0
WBGene00008299	2
WBGene00008300	0
WBGene00008301	0
WBGene00008302	0
WBGene00008303	0
WBGene00008304	0
WBGene00008307	0
WBGene00008308	1
WBGene00008309	0
WBGene00008310	1
WBGene00008311	0
WBGene00008312	2
WBGene00008313	2
WBGene00008314	0
WBGene00008315	0
WBGene00008316	1
WBGene00008317	23
WBGene00008318	4
WBGene00008319	0
WBGene00008320	0
WBGene00008321	0
WBGene00008322	0
WBGene00008323	0
WBGene00008324	0
WBGene00008326	0
WBGene00008327	0
WBGene00008330	5
WBGene00008331	8
WBGene00008332	2
WBGene00008333	1
WBGene00008334	0
WBGene00008335	0
WBGene00008336	2
WBGene00008338	10
WBGene00008339	8
WBGene00008340	1
WBGene00008341	1
WBGene00008342	0
WBGene00008343	8
WBGene00008344	3
WBGene00008345	8
WBGene00008346	8
WBGene00008348	1
WBGene00008352	0
WBGene00008353	13
WBGene00008354	0
WBGene00008355	0
WBGene00008356	2
WBGene00008357	1
WBGene00008358	1
WBGene00008359	1
WBGene00008360	1
WBGene00008361	10
WBGene00008362	9
WBGene00008363	8
WBGene00008364	4
WBGene00008365	0
WBGene00008366	1
WBGene00008367	0
WBGene00008368	0
WBGene00008369	0
WBGene00008370	5
WBGene00008371	9
WBGene00008372	0
WBGene00008375	0
WBGene00008376	20
WBGene00008377	0
WBGene00008378	0
WBGene00008379	3
WBGene00008380	10
WBGene00008381	1
WBGene00008382	0
WBGene00008383	2
WBGene00008384	0
WBGene00008385	30
WBGene00008386	20
WBGene00008387	11
WBGene00008388	0
WBGene00008389	0
WBGene00008390	0
WBGene00008392	0
WBGene00008393	2
WBGene00008394	0
WBGene00008395	0
WBGene00008396	0
WBGene00008397	7
WBGene00008398	39
WBGene00008399	20
WBGene00008400	14
WBGene00008401	0
WBGene00008402	19
WBGene00008403	3
WBGene00008404	9
WBGene00008405	5
WBGene00008407	0
WBGene00008408	2
WBGene00008409	13
WBGene00008410	22
WBGene00008411	4
WBGene00008412	9
WBGene00008413	8
WBGene00008414	12
WBGene00008415	24
WBGene00008417	9
WBGene00008418	13
WBGene00008419	12
WBGene00008420	4
WBGene00008421	0
WBGene00008422	45
WBGene00008423	4
WBGene00008424	3
WBGene00008425	0
WBGene00008426	2
WBGene00008427	0
WBGene00008428	19
WBGene00008429	10
WBGene00008430	14
WBGene00008431	5
WBGene00008432	0
WBGene00008433	1
WBGene00008434	0
WBGene00008435	1
WBGene00008436	0
WBGene00008438	1
WBGene00008439	0
WBGene00008440	8
WBGene00008441	6
WBGene00008442	5
WBGene00008443	1
WBGene00008444	14
WBGene00008446	11
WBGene00008447	14
WBGene00008448	2
WBGene00008449	0
WBGene00008450	0
WBGene00008451	0
WBGene00008452	6
WBGene00008453	0
WBGene00008454	0
WBGene00008455	2
WBGene00008456	1
WBGene00008457	6
WBGene00008458	5
WBGene00008459	1
WBGene00008460	0
WBGene00008462	0
WBGene00008463	0
WBGene00008464	2
WBGene00008468	0
WBGene00008470	0
WBGene00008471	0
WBGene00008472	0
WBGene00008473	0
WBGene00008474	0
WBGene00008475	0
WBGene00008476	4
WBGene00008477	1
WBGene00008478	1
WBGene00008479	0
WBGene00008480	17
WBGene00008481	0
WBGene00008482	0
WBGene00008483	0
WBGene00008484	0
WBGene00008485	0
WBGene00008486	1
WBGene00008488	3
WBGene00008489	0
WBGene00008490	0
WBGene00008491	0
WBGene00008492	0
WBGene00008493	0
WBGene00008494	0
WBGene00008495	0
WBGene00008496	0
WBGene00008497	2
WBGene00008498	3
WBGene00008499	0
WBGene00008500	2
WBGene00008502	9
WBGene00008503	35
WBGene00008504	8
WBGene00008505	37
WBGene00008506	33
WBGene00008507	0
WBGene00008508	3
WBGene00008509	0
WBGene00008510	1
WBGene00008511	1
WBGene00008512	0
WBGene00008513	0
WBGene00008514	11
WBGene00008515	0
WBGene00008516	0
WBGene00008517	1
WBGene00008518	0
WBGene00008519	3
WBGene00008520	0
WBGene00008521	1
WBGene00008522	0
WBGene00008523	0
WBGene00008524	0
WBGene00008526	1
WBGene00008527	1
WBGene00008528	5
WBGene00008529	4
WBGene00008530	3
WBGene00008531	4
WBGene00008532	18
WBGene00008533	4
WBGene00008535	7
WBGene00008536	24
WBGene00008538	2
WBGene00008539	0
WBGene00008540	0
WBGene00008541	13
WBGene00008542	2
WBGene00008543	0
WBGene00008545	1
WBGene00008546	39
WBGene00008547	1
WBGene00008548	1
WBGene00008549	4
WBGene00008550	0
WBGene00008551	0
WBGene00008552	0
WBGene00008553	0
WBGene00008554	1
WBGene00008555	5
WBGene00008556	0
WBGene00008557	0
WBGene00008558	0
WBGene00008559	0
WBGene00008560	0
WBGene00008561	10
WBGene00008563	1
WBGene00008564	0
WBGene00008565	0
WBGene00008566	0
WBGene00008567	0
WBGene00008568	1
WBGene00008569	10
WBGene00008570	1
WBGene00008571	1
WBGene00008572	1
WBGene00008574	0
WBGene00008575	0
WBGene00008576	0
WBGene00008577	1
WBGene00008578	3
WBGene00008579	0
WBGene00008580	5
WBGene00008581	3
WBGene00008582	1
WBGene00008583	0
WBGene00008584	0
WBGene00008585	0
WBGene00008586	7
WBGene00008587	13
WBGene00008588	0
WBGene00008589	0
WBGene00008590	16
WBGene00008591	22
WBGene00008592	0
WBGene00008593	0
WBGene00008594	0
WBGene00008595	0
WBGene00008596	0
WBGene00008597	0
WBGene00008598	0
WBGene00008599	0
WBGene00008600	0
WBGene00008601	2
WBGene00008602	0
WBGene00008603	1
WBGene00008604	0
WBGene00008605	0
WBGene00008606	2
WBGene00008607	1
WBGene00008609	0
WBGene00008610	0
WBGene00008611	0
WBGene00008612	1
WBGene00008613	3
WBGene00008615	0
WBGene00008616	0
WBGene00008617	0
WBGene00008618	1
WBGene00008619	0
WBGene00008620	1
WBGene00008621	0
WBGene00008622	81
WBGene00008623	0
WBGene00008624	11
WBGene00008625	0
WBGene00008626	0
WBGene00008627	0
WBGene00008628	0
WBGene00008629	0
WBGene00008630	0
WBGene00008631	0
WBGene00008632	0
WBGene00008633	0
WBGene00008634	0
WBGene00008636	0
WBGene00008637	1
WBGene00008639	6
WBGene00008640	0
WBGene00008641	5
WBGene00008642	32
WBGene00008643	0
WBGene00008644	1
WBGene00008645	17
WBGene00008646	7
WBGene00008647	0
WBGene00008648	12
WBGene00008649	0
WBGene00008650	0
WBGene00008651	3
WBGene00008652	1
WBGene00008654	0
WBGene00008655	0
WBGene00008656	0
WBGene00008659	5
WBGene00008660	2
WBGene00008661	3
WBGene00008662	0
WBGene00008663	0
WBGene00008664	5
WBGene00008665	11
WBGene00008666	2
WBGene00008667	7
WBGene00008668	0
WBGene00008669	0
WBGene00008670	6
WBGene00008671	0
WBGene00008672	0
WBGene00008673	0
WBGene00008675	0
WBGene00008676	0
WBGene00008677	2
WBGene00008678	0
WBGene00008679	0
WBGene00008680	0
WBGene00008681	4
WBGene00008682	19
WBGene00008683	4
WBGene00008684	5
WBGene00008685	13
WBGene00008686	18
WBGene00008687	5
WBGene00008688	5
WBGene00008690	14
WBGene00008691	0
WBGene00008692	0
WBGene00008693	0
WBGene00008694	11
WBGene00008695	13
WBGene00008696	0
WBGene00008698	0
WBGene00008699	0
WBGene00008700	0
WBGene00008701	0
WBGene00008702	0
WBGene00008703	0
WBGene00008706	0
WBGene00008707	5
WBGene00008708	0
WBGene00008709	0
WBGene00008710	24
WBGene00008711	0
WBGene00008712	0
WBGene00008713	0
WBGene00008714	0
WBGene00008716	0
WBGene00008717	0
WBGene00008719	0
WBGene00008720	14
WBGene00008722	5
WBGene00008724	9
WBGene00008725	2
WBGene00008726	2
WBGene00008727	0
WBGene00008728	1
WBGene00008729	16
WBGene00008730	0
WBGene00008731	1
WBGene00008732	0
WBGene00008733	14
WBGene00008734	0
WBGene00008735	0
WBGene00008736	0
WBGene00008737	0
WBGene00008739	0
WBGene00008740	29
WBGene00008741	2
WBGene00008742	0
WBGene00008743	5
WBGene00008744	0
WBGene00008745	1
WBGene00008746	0
WBGene00008747	3
WBGene00008748	1
WBGene00008749	1
WBGene00008750	15
WBGene00008751	0
WBGene00008752	0
WBGene00008753	0
WBGene00008754	0
WBGene00008755	0
WBGene00008757	0
WBGene00008758	2
WBGene00008759	0
WBGene00008760	2
WBGene00008761	0
WBGene00008762	0
WBGene00008763	0
WBGene00008764	10
WBGene00008765	7
WBGene00008766	4
WBGene00008767	14
WBGene00008768	2
WBGene00008769	8
WBGene00008770	0
WBGene00008772	0
WBGene00008773	0
WBGene00008774	4
WBGene00008775	9
WBGene00008776	3
WBGene00008777	0
WBGene00008778	0
WBGene00008779	3
WBGene00008780	34
WBGene00008781	15
WBGene00008782	1
WBGene00008783	2
WBGene00008784	3
WBGene00008785	0
WBGene00008786	0
WBGene00008787	0
WBGene00008788	0
WBGene00008789	21
WBGene00008790	0
WBGene00008792	0
WBGene00008793	0
WBGene00008794	0
WBGene00008795	0
WBGene00008796	0
WBGene00008797	0
WBGene00008798	0
WBGene00008799	0
WBGene00008800	17
WBGene00008801	6
WBGene00008802	18
WBGene00008803	0
WBGene00008804	0
WBGene00008805	4
WBGene00008806	4
WBGene00008807	0
WBGene00008808	0
WBGene00008809	1
WBGene00008810	1
WBGene00008811	0
WBGene00008812	0
WBGene00008814	0
WBGene00008815	0
WBGene00008816	0
WBGene00008817	0
WBGene00008818	0
WBGene00008819	18
WBGene00008820	0
WBGene00008821	6
WBGene00008822	3
WBGene00008823	10
WBGene00008824	7
WBGene00008825	27
WBGene00008826	0
WBGene00008829	0
WBGene00008830	0
WBGene00008831	1
WBGene00008832	8
WBGene00008833	0
WBGene00008834	0
WBGene00008835	0
WBGene00008837	1
WBGene00008838	0
WBGene00008839	0
WBGene00008840	0
WBGene00008841	0
WBGene00008843	1
WBGene00008844	0
WBGene00008847	0
WBGene00008848	35
WBGene00008849	0
WBGene00008850	0
WBGene00008851	0
WBGene00008852	17
WBGene00008853	0
WBGene00008854	4
WBGene00008855	0
WBGene00008856	10
WBGene00008857	5
WBGene00008858	4
WBGene00008859	4
WBGene00008860	1
WBGene00008861	0
WBGene00008862	5
WBGene00008863	7
WBGene00008865	1
WBGene00008866	0
WBGene00008868	0
WBGene00008869	0
WBGene00008870	2
WBGene00008871	0
WBGene00008872	0
WBGene00008874	1
WBGene00008875	0
WBGene00008876	21
WBGene00008877	14
WBGene00008878	26
WBGene00008879	0
WBGene00008880	9
WBGene00008881	0
WBGene00008882	31
WBGene00008883	2
WBGene00008884	0
WBGene00008885	0
WBGene00008886	0
WBGene00008887	22
WBGene00008889	0
WBGene00008890	13
WBGene00008891	0
WBGene00008892	0
WBGene00008893	0
WBGene00008894	0
WBGene00008897	0
WBGene00008898	0
WBGene00008899	1
WBGene00008900	0
WBGene00008901	0
WBGene00008902	0
WBGene00008903	0
WBGene00008904	3
WBGene00008905	0
WBGene00008906	0
WBGene00008907	0
WBGene00008908	0
WBGene00008909	0
WBGene00008910	0
WBGene00008911	0
WBGene00008912	7
WBGene00008914	0
WBGene00008915	1
WBGene00008916	0
WBGene00008917	0
WBGene00008918	7
WBGene00008919	17
WBGene00008920	65
WBGene00008921	29
WBGene00008922	2
WBGene00008923	0
WBGene00008924	3
WBGene00008925	6
WBGene00008926	0
WBGene00008927	2
WBGene00008928	0
WBGene00008929	3
WBGene00008930	0
WBGene00008932	1
WBGene00008934	7
WBGene00008935	1
WBGene00008936	0
WBGene00008937	7
WBGene00008939	1
WBGene00008940	1
WBGene00008944	0
WBGene00008945	6
WBGene00008946	0
WBGene00008947	0
WBGene00008948	11
WBGene00008949	10
WBGene00008950	8
WBGene00008951	1
WBGene00008952	0
WBGene00008953	0
WBGene00008954	0
WBGene00008955	0
WBGene00008956	0
WBGene00008957	0
WBGene00008958	4
WBGene00008959	2
WBGene00008960	0
WBGene00008961	0
WBGene00008963	0
WBGene00008964	0
WBGene00008965	1
WBGene00008967	1
WBGene00008968	17
WBGene00008969	0
WBGene00008970	0
WBGene00008971	2
WBGene00008972	0
WBGene00008973	4
WBGene00008974	6
WBGene00008975	7
WBGene00008976	5
WBGene00008977	0
WBGene00008978	0
WBGene00008979	1
WBGene00008980	0
WBGene00008981	0
WBGene00008982	0
WBGene00008984	0
WBGene00008985	0
WBGene00008986	8
WBGene00008987	1
WBGene00008988	0
WBGene00008989	0
WBGene00008990	33
WBGene00008991	2
WBGene00008992	0
WBGene00008993	0
WBGene00008994	0
WBGene00008995	3
WBGene00008996	3
WBGene00008997	0
WBGene00008998	0
WBGene00008999	7
WBGene00009000	0
WBGene00009001	0
WBGene00009002	4
WBGene00009004	13
WBGene00009005	1
WBGene00009006	20
WBGene00009007	12
WBGene00009008	2
WBGene00009009	3
WBGene00009010	5
WBGene00009011	3
WBGene00009012	12
WBGene00009013	4
WBGene00009014	0
WBGene00009015	0
WBGene00009016	8
WBGene00009017	1
WBGene00009018	0
WBGene00009021	3
WBGene00009022	0
WBGene00009023	0
WBGene00009024	0
WBGene00009025	1
WBGene00009026	0
WBGene00009027	0
WBGene00009028	5
WBGene00009029	0
WBGene00009030	0
WBGene00009031	15
WBGene00009032	0
WBGene00009033	0
WBGene00009035	58
WBGene00009036	0
WBGene00009038	0
WBGene00009039	0
WBGene00009041	0
WBGene00009042	1
WBGene00009043	6
WBGene00009044	3
WBGene00009045	7
WBGene00009046	0
WBGene00009048	0
WBGene00009049	5
WBGene00009050	30
WBGene00009051	3
WBGene00009052	20
WBGene00009054	12
WBGene00009056	0
WBGene00009057	0
WBGene00009058	1
WBGene00009059	0
WBGene00009060	0
WBGene00009061	0
WBGene00009063	0
WBGene00009064	24
WBGene00009065	23
WBGene00009067	0
WBGene00009068	0
WBGene00009069	14
WBGene00009070	0
WBGene00009073	0
WBGene00009075	3
WBGene00009077	0
WBGene00009078	6
WBGene00009079	0
WBGene00009081	9
WBGene00009082	25
WBGene00009084	11
WBGene00009085	0
WBGene00009086	3
WBGene00009087	0
WBGene00009088	1
WBGene00009089	4
WBGene00009090	1
WBGene00009091	0
WBGene00009092	9
WBGene00009093	1
WBGene00009094	3
WBGene00009095	0
WBGene00009096	7
WBGene00009097	0
WBGene00009098	6
WBGene00009099	0
WBGene00009100	0
WBGene00009101	0
WBGene00009102	0
WBGene00009103	10
WBGene00009106	0
WBGene00009107	0
WBGene00009108	0
WBGene00009109	3
WBGene00009110	0
WBGene00009112	15
WBGene00009113	129
WBGene00009114	0
WBGene00009115	6
WBGene00009116	3
WBGene00009117	1
WBGene00009118	12
WBGene00009119	141
WBGene00009120	31
WBGene00009121	2
WBGene00009122	33
WBGene00009123	3
WBGene00009124	12
WBGene00009125	2
WBGene00009126	30
WBGene00009127	10
WBGene00009128	2
WBGene00009129	2
WBGene00009130	0
WBGene00009131	13
WBGene00009132	5
WBGene00009133	0
WBGene00009134	0
WBGene00009135	2
WBGene00009136	0
WBGene00009137	0
WBGene00009138	5
WBGene00009139	10
WBGene00009140	4
WBGene00009141	3
WBGene00009142	0
WBGene00009143	3
WBGene00009144	0
WBGene00009145	12
WBGene00009146	0
WBGene00009147	0
WBGene00009148	2
WBGene00009149	4
WBGene00009150	0
WBGene00009151	0
WBGene00009152	0
WBGene00009153	0
WBGene00009154	1
WBGene00009155	0
WBGene00009156	0
WBGene00009157	1
WBGene00009158	1
WBGene00009159	4
WBGene00009160	1
WBGene00009161	7
WBGene00009162	0
WBGene00009163	10
WBGene00009164	13
WBGene00009165	1
WBGene00009166	0
WBGene00009167	0
WBGene00009168	0
WBGene00009169	0
WBGene00009170	0
WBGene00009171	0
WBGene00009172	11
WBGene00009173	6
WBGene00009174	8
WBGene00009176	3
WBGene00009177	3
WBGene00009178	1
WBGene00009179	5
WBGene00009180	45
WBGene00009182	0
WBGene00009183	0
WBGene00009184	0
WBGene00009185	5
WBGene00009186	16
WBGene00009187	11
WBGene00009188	19
WBGene00009189	23
WBGene00009190	3
WBGene00009191	7
WBGene00009192	0
WBGene00009193	3
WBGene00009194	0
WBGene00009195	0
WBGene00009196	0
WBGene00009200	7
WBGene00009201	2
WBGene00009202	3
WBGene00009203	5
WBGene00009204	10
WBGene00009205	0
WBGene00009207	13
WBGene00009208	0
WBGene00009209	0
WBGene00009211	18
WBGene00009212	1
WBGene00009213	0
WBGene00009214	0
WBGene00009215	0
WBGene00009216	0
WBGene00009217	1
WBGene00009218	2
WBGene00009219	3
WBGene00009220	3
WBGene00009221	1
WBGene00009222	2
WBGene00009223	15
WBGene00009224	23
WBGene00009225	1
WBGene00009226	0
WBGene00009227	0
WBGene00009228	0
WBGene00009229	0
WBGene00009231	0
WBGene00009232	0
WBGene00009233	8
WBGene00009234	9
WBGene00009235	0
WBGene00009236	0
WBGene00009237	0
WBGene00009238	0
WBGene00009239	3
WBGene00009240	0
WBGene00009241	0
WBGene00009242	0
WBGene00009243	1
WBGene00009245	10
WBGene00009246	14
WBGene00009247	17
WBGene00009248	0
WBGene00009250	0
WBGene00009251	0
WBGene00009252	1
WBGene00009254	17
WBGene00009255	0
WBGene00009256	7
WBGene00009257	0
WBGene00009258	0
WBGene00009259	1
WBGene00009260	14
WBGene00009261	0
WBGene00009262	9
WBGene00009263	0
WBGene00009264	21
WBGene00009266	6
WBGene00009267	7
WBGene00009268	0
WBGene00009269	2
WBGene00009270	28
WBGene00009271	4
WBGene00009272	8
WBGene00009274	0
WBGene00009276	6
WBGene00009277	7
WBGene00009278	0
WBGene00009279	0
WBGene00009280	2
WBGene00009281	1
WBGene00009283	0
WBGene00009284	7
WBGene00009285	25
WBGene00009286	8
WBGene00009287	3
WBGene00009288	1
WBGene00009289	2
WBGene00009290	4
WBGene00009291	0
WBGene00009292	1
WBGene00009293	0
WBGene00009294	3
WBGene00009296	1
WBGene00009297	0
WBGene00009298	0
WBGene00009299	31
WBGene00009300	4
WBGene00009301	2
WBGene00009302	3
WBGene00009303	0
WBGene00009304	1
WBGene00009305	18
WBGene00009306	44
WBGene00009307	17
WBGene00009308	17
WBGene00009311	1
WBGene00009312	0
WBGene00009313	4
WBGene00009314	21
WBGene00009315	0
WBGene00009316	0
WBGene00009318	0
WBGene00009319	13
WBGene00009320	5
WBGene00009321	10
WBGene00009322	9
WBGene00009323	6
WBGene00009324	1
WBGene00009325	0
WBGene00009326	0
WBGene00009327	0
WBGene00009328	0
WBGene00009329	9
WBGene00009330	9
WBGene00009331	0
WBGene00009332	0
WBGene00009333	0
WBGene00009334	1
WBGene00009335	5
WBGene00009336	6
WBGene00009337	1
WBGene00009338	0
WBGene00009339	0
WBGene00009340	1
WBGene00009341	4
WBGene00009342	3
WBGene00009343	0
WBGene00009344	17
WBGene00009345	0
WBGene00009346	14
WBGene00009347	0
WBGene00009349	0
WBGene00009350	0
WBGene00009352	18
WBGene00009353	4
WBGene00009354	1
WBGene00009355	0
WBGene00009356	0
WBGene00009357	0
WBGene00009358	0
WBGene00009359	0
WBGene00009360	0
WBGene00009361	22
WBGene00009362	0
WBGene00009363	0
WBGene00009364	8
WBGene00009365	20
WBGene00009366	24
WBGene00009367	8
WBGene00009368	33
WBGene00009369	2
WBGene00009370	3
WBGene00009371	1
WBGene00009372	14
WBGene00009373	0
WBGene00009374	24
WBGene00009375	0
WBGene00009377	5
WBGene00009378	2
WBGene00009379	0
WBGene00009380	50
WBGene00009381	0
WBGene00009382	0
WBGene00009383	0
WBGene00009384	0
WBGene00009385	15
WBGene00009386	0
WBGene00009387	0
WBGene00009388	0
WBGene00009389	0
WBGene00009390	0
WBGene00009391	0
WBGene00009392	0
WBGene00009393	0
WBGene00009394	6
WBGene00009395	0
WBGene00009396	0
WBGene00009397	0
WBGene00009398	3
WBGene00009399	0
WBGene00009400	0
WBGene00009401	2
WBGene00009402	5
WBGene00009403	0
WBGene00009404	8
WBGene00009405	0
WBGene00009406	0
WBGene00009408	0
WBGene00009409	0
WBGene00009410	0
WBGene00009412	1
WBGene00009413	2
WBGene00009415	0
WBGene00009416	8
WBGene00009417	0
WBGene00009418	0
WBGene00009420	0
WBGene00009421	0
WBGene00009422	0
WBGene00009423	0
WBGene00009424	0
WBGene00009426	1
WBGene00009427	3
WBGene00009429	0
WBGene00009430	0
WBGene00009431	0
WBGene00009432	0
WBGene00009433	0
WBGene00009434	0
WBGene00009435	18
WBGene00009436	2
WBGene00009437	2
WBGene00009438	0
WBGene00009439	4
WBGene00009440	14
WBGene00009441	25
WBGene00009442	10
WBGene00009443	2
WBGene00009444	6
WBGene00009445	11
WBGene00009446	0
WBGene00009447	0
WBGene00009448	5
WBGene00009449	2
WBGene00009450	1
WBGene00009451	49
WBGene00009452	10
WBGene00009453	7
WBGene00009454	10
WBGene00009455	9
WBGene00009456	7
WBGene00009457	8
WBGene00009458	3
WBGene00009459	3
WBGene00009460	36
WBGene00009461	0
WBGene00009462	0
WBGene00009463	0
WBGene00009464	0
WBGene00009465	3
WBGene00009466	0
WBGene00009467	0
WBGene00009468	15
WBGene00009469	7
WBGene00009470	6
WBGene00009471	4
WBGene00009473	1
WBGene00009475	0
WBGene00009476	0
WBGene00009477	29
WBGene00009478	6
WBGene00009479	9
WBGene00009480	0
WBGene00009481	0
WBGene00009482	0
WBGene00009483	2
WBGene00009484	0
WBGene00009485	0
WBGene00009486	0
WBGene00009487	0
WBGene00009488	0
WBGene00009489	5
WBGene00009490	0
WBGene00009491	0
WBGene00009492	5
WBGene00009493	1
WBGene00009494	0
WBGene00009495	0
WBGene00009496	0
WBGene00009497	0
WBGene00009498	20
WBGene00009499	6
WBGene00009500	0
WBGene00009501	0
WBGene00009502	2
WBGene00009503	0
WBGene00009504	0
WBGene00009505	16
WBGene00009507	20
WBGene00009508	9
WBGene00009509	4
WBGene00009510	0
WBGene00009511	7
WBGene00009512	1
WBGene00009513	0
WBGene00009514	0
WBGene00009515	0
WBGene00009517	0
WBGene00009518	0
WBGene00009519	0
WBGene00009520	0
WBGene00009521	13
WBGene00009522	0
WBGene00009523	0
WBGene00009524	0
WBGene00009525	0
WBGene00009526	1
WBGene00009528	0
WBGene00009529	0
WBGene00009530	0
WBGene00009531	0
WBGene00009532	0
WBGene00009533	0
WBGene00009534	0
WBGene00009535	0
WBGene00009536	0
WBGene00009537	0
WBGene00009538	1
WBGene00009539	1
WBGene00009540	0
WBGene00009541	0
WBGene00009542	22
WBGene00009543	0
WBGene00009544	2
WBGene00009546	1
WBGene00009547	0
WBGene00009548	1
WBGene00009549	0
WBGene00009550	2
WBGene00009551	3
WBGene00009552	13
WBGene00009553	7
WBGene00009554	2
WBGene00009556	3
WBGene00009557	6
WBGene00009558	8
WBGene00009559	13
WBGene00009560	0
WBGene00009561	0
WBGene00009562	0
WBGene00009563	1
WBGene00009565	24
WBGene00009566	0
WBGene00009567	0
WBGene00009568	0
